## THREAD

unknown

## CHAT_ID

unknown

## TS

2026-02-06

## Assumptions (scoped to `generated repository snapshot artifact`)

* Only local execution; no network calls are intended at runtime (UI is local web only). 
* `./appdata/` is the sole state/artifact root (SQLite + per-run directories). 
* Runs are orchestrated by `Pipeline.run()` and plugin execution is subprocess-based (`plugin_runner.py`).  
* Plugin contracts are enforced via manifest + config/output JSON schemas.  
* Reports are written as both `report.md` and schema-validated `report.json`.  
* Uploads are hashed (sha256) and deduplicated in storage lookups.  
* Determinism is partially enforced (per-run seed; JSON stable dumps; discipline plugin checks `measurement_type` + modeled assumptions).   
* Multi-tenant support exists in schema (`tenant_id` columns), but operator experience is effectively “single-operator local” unless flags are enabled. 

## Key claims (grounded)

| Claim label | Claim                                                                                              | Evidence                                                                                                                 |
| ----------- | -------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------ |
| CITE        | `run_id` is typically random/UUID-derived; `run_seed` defaults to a stable hash of `run_id`.       | `make_run_id()` uses `uuid.uuid4().hex`.  Pipeline derives `run_seed` via `stable_hash(run_id)` when seed not provided.  |
| CITE        | JSON writing is non-atomic in core utilities (direct `write_text`).                                | `write_json()` uses `path.write_text(...)` directly.                                                                     |
| CITE        | SQLite durability is WAL + `synchronous=NORMAL` by default.                                        | Connection PRAGMAs set WAL and synchronous NORMAL.                                                                       |
| CITE        | Subprocess plugin runner enforces “no network” and a filesystem allowlist via guards.              | Sandbox network + FS guard setup is in `sandbox.py`.  Runner applies sandbox based on manifest.                          |
| INFERENCE   | The current “plugin manager UI” is operator-hostile (no install/update/compat/sandbox visibility). | `/templates/plugins.html` lists plugins as plain `<li>` entries with no actions/metadata.                                |

---

# A) Red-team failure scenarios

## A1) Red-team as a User (fatigue/misclick/low patience) — 10 scenarios

|   # | Failure mode                                                                        | Likely detection signals (existing/needed)                                                                | Mitigation (defensive)                                                                                                                                                        |
| --: | ----------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
|  U1 | Upload wrong dataset (similar filename) → run “looks plausible”                     | UI shows only filename + bytes in some flows (no strong identity), while sha exists.                      | Require “dataset identity card” confirmation before run: sha256, row/col counts, inferred roles; make “Run” disabled until user acknowledges identity.                        |
|  U2 | Dedup by sha causes user to think “new upload” happened but it reuses old upload_id | Server can return an existing upload by sha (ordered earliest).                                           | Make dedup explicit in UI: “Matched existing content; reusing upload_id=… created_at=…”. Store “upload_instance_id” for each attempt.                                         |
|  U3 | Misunderstand modeled vs measured; treats modeled metrics as facts                  | “Determinism discipline” exists, but only if run includes that plugin.                                    | Make `measurement_type` mandatory at schema level for findings and add “modeled banner” UI grouping; always run discipline validation at harness-level (not optional plugin). |
|  U4 | Runs are not provably reproducible (“what ran?”)                                    | Pipeline writes per-plugin request/response JSON files (good), but UX does not prominently link them.     | Add a “Proof” panel: settings hash, plugin code hash, request/response links, schema versions, dataset hash, seed.                                                            |
|  U5 | Wrong plugin set selected (“all”) triggers expensive/irrelevant analyses            | Project flow encourages “Upload & Run All Plugins”.                                                       | Add planner-based recommended set and a “plan preview” step showing DAG and expected time/cost. Default to recommended, not all.                                              |
|  U6 | Partial run errors are buried; user only sees “completed”                           | `/progress` endpoint returns plugin statuses + error summaries, but “completed” can still have errors.    | Introduce run outcome states: `completed_with_errors`, `failed`, `canceled`. Require a visible error badge + “re-run failed plugins” CTA.                                     |
|  U7 | Editing JSON overrides introduces subtle schema-invalid settings                    | Settings UI is a raw `<textarea>` per plugin.                                                             | Add live JSON schema validation (client + server), show diffs vs defaults, and provide “reset to defaults” per plugin.                                                        |
|  U8 | Known-issues editor encourages free-form entries → accidental false negatives       | Known issues editor supports “strict” and NL notes, with autosave.                                        | Add preview: “these are the exact checks that will run”; require explicit scope binding to ERP/project/dataset_version.                                                       |
|  U9 | User can’t tell if run used sampling/row limits                                     | Budgets exist, but UX does not surface them in a single place. (Budget is part of plugin output schema.)  | Add “Sampling & budgets” summary with row_limit/sample strategy/time limits and whether results are complete vs sampled.                                                      |
| U10 | LLM prompt artifact leaks PII because redaction is exact-match only                 | Prompt builder replaces exact detected values; misses variants/format changes.                            | Add deterministic structured redaction with canonicalization + context-aware masking; require a “PII scan report” artifact and user consent gate before prompt export.        |

## A2) Red-team as a System Admin/Operator — 10 scenarios

|   # | Failure mode                                                                     | Likely detection signals (existing/needed)                                | Mitigation (defensive)                                                                                                                           |
| --: | -------------------------------------------------------------------------------- | ------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------ |
|  O1 | Plugin dependency cycle blocks runs                                              | Toposort throws on cycles.                                                | Add a `stat-harness plugins doctor` command that precomputes DAG, highlights the cycle, and blocks enablement until resolved.                    |
|  O2 | Schema drift: mix of draft-07 and 2020-12 behaves inconsistently                 | Some schemas use 2020-12.                                                 | Standardize schema dialect or select validator by `$schema` explicitly and test both; gate plugin install on schema validation pass.             |
|  O3 | SQLite corruption or partial writes after crash/power loss                       | WAL + sync NORMAL trades durability for speed.                            | Add automatic backups + integrity checks (`PRAGMA integrity_check`), and crash recovery marking runs as “crashed” with salvage tooling.          |
|  O4 | Run directory partially written (non-atomic) → “completed” but missing artifacts | `write_json()` is non-atomic.                                             | Use atomic write pattern (temp + fsync + rename) and run finalization step that checks required artifacts exist before marking completed.        |
|  O5 | Sandbox allowlist too permissive by default (implicit `run_dir` + DB)            | Pipeline adds `run_dir` and `state.sqlite` to allow_paths.                | Make allowlist explicit per plugin; require “DB access” and “run_dir write” capabilities declared and approved in plugin manager.                |
|  O6 | Hung plugin blocks worker threads; pipeline never completes                      | Runner supports timeout via budget time_limit_ms.                         | Add orchestrator watchdog + hard wall-time caps; classify as timeout and optionally retry with stricter budgets.                                 |
|  O7 | Performance regression goes unnoticed (slow ingest, heavy plugins)               | `plugin_executions` captures durations & CPU.                             | Add regression gates: baseline fixture + threshold alerts; surface medians/p95 in UI.                                                            |
|  O8 | Artifact serving path traversal                                                  | API uses `safe_join` for artifacts.                                       | Extend to block symlink/junction tricks and add tests covering symlinks and Windows path edge cases.                                             |
|  O9 | “Auto-evaluate” path generates run_id separately (inconsistent ID policy)        | Server uses `uuid.uuid4().hex` directly.                                  | Centralize run_id policy in one function; add deterministic “run_fingerprint” alongside unique run_id.                                           |
| O10 | PII tables drift / false positives poison prompt anonymization                   | `pii_entities` store hashes + values; prompt builder uses exact matches.  | Add PII confidence + provenance (which plugin/rules flagged it) and require review/approval for prompt export; add “redaction coverage” metrics. |

---

# B) Recommendations master tables (by bucket, in required order)

**Legend:** Scores are **P1 Performant / P2 Security / P3 Accuracy / P4 Citeability = Total**.
**Effort:** S/M/L. **Risk:** Low/Med/High.
**Acceptance test includes:** *Improved*, *Risked*, *Enforcement location*, *Regression detection (ship gate: ANY_REGRESS ⇒ DO_NOT_SHIP)*, and a concrete verification.

---

## I. Foundation: Ingest + Run-core stability

| ID     | Recommendation (one line)                                                                                                         | Rationale (why it matters)                                                                                                                      |    Scores | Effort | Risk | Dependencies                   | Acceptance test (incl. enforcement + regression gate)                                                                                                                                                                                                                                                           |
| PERF-02 | Reduce SQLite bloat: avoid storing full `row_json` for wide tables (or compress)                                 | Dataset table includes `row_json` plus separate columns ; large datasets will balloon DB                     | 3/0/0/1=4 |    L   | High | schema change | Improved: P1; Risked: P4 (replay detail); Enforce: ingest/storage; Regress: plugins requiring raw row_json must still function via accessor; if break ⇒ DO_NOT_SHIP; Acceptance: DB size on fixture reduced by X% while plugin outputs unchanged.                   |
| PERF-03 | Standardize sampling strategy (reservoir/stratified) and record sampling metadata in every plugin output         | Budget includes `row_limit` and whether sampled (schema expects).  Dataset accessor honors row_limit.        | 2/0/2/3=7 |    M   |  Med | META-01       | Improved: P1,P3,P4; Risked: none; Enforce: `core/dataset_io.py`, `plugin_runner.py`; Regress: sampled runs must be reproducible under seed; if not ⇒ DO_NOT_SHIP; Acceptance: same seed + sampling yields same sample rows and same summary metrics.                |
| PERF-04 | Concurrency tuning: cap worker counts and add adaptive scheduling based on resource class                        | Parallel execution exists ; prevent oversubscription on Windows/WSL2                                         | 3/0/1/2=6 |    M   |  Med | EXEC-04       | Improved: P1,P4; Risked: none; Enforce: orchestrator; Regress: total runtime must not regress on baseline; else DO_NOT_SHIP; Acceptance: heavy pool caps keep UI responsive and reduce tail latency.                                                                |
| PERF-05 | Vector store performance: cache embeddings and index incrementally (optional feature)                            | Vector endpoints exist (`/vectors`).  Treat as optional and budgeted                                         | 2/0/0/1=3 |    L   |  Med | vector module | Improved: P1; Risked: none; Enforce: vector store; Regress: must remain optional/off by default; if enabled by default ⇒ DO_NOT_SHIP; Acceptance: index build time decreases with caching across reruns.                                                            |
| PERF-06 | Cache dataset access patterns in `DatasetAccessor` (query memoization for common slices)                         | Accessor exists and is used by runner; large repeated queries can be costly (no direct evidence of caching). | 2/0/0/1=3 |    M   |  Low | PERF-03       | Improved: P1; Risked: P3 (stale results); Enforce: `core/dataset_io.py`; Regress: cache must be keyed by dataset_version + query + sampling; if wrong reuse ⇒ DO_NOT_SHIP; Acceptance: repeated plugin reads reduce query time measurably without changing results. |
| PERF-07 | Windows-friendly resource limits: rely on subprocess timeout + memory sampling metrics rather than POSIX rlimits | rlimits are POSIX-only; runner uses timeout already ; resource stats exist in executions table               | 1/1/1/1=4 |    L   |  Med | OBS-02        | Improved: P1,P2,P4; Risked: none; Enforce: runner; Regress: none; Acceptance: memory/cpu metrics recorded on Windows/WSL2 and used for alerts.                                                                                                                      |
| PERF-08 | Add “fast path” for rerun: reuse ingest outputs and avoid re-parsing raw files when dataset_version exists       | Dataset versions and rerun action exist in UI scripts.                                                       | 2/0/1/2=5 |    M   |  Med | FND-06        | Improved: P1,P4; Risked: P3 (stale ingest); Enforce: server rerun endpoint; Regress: must detect raw_format/schema changes; if not ⇒ DO_NOT_SHIP; Acceptance: rerun uses existing dataset_version_id and records that reuse in run manifest.                        |

---

## IX. QA / Test strategy: Determinism + contracts + regressions

| ID    | Recommendation                                                                                          | Rationale                                                                                                 |    Scores | Effort | Risk | Dependencies     | Acceptance test (incl. enforcement + regression gate)                                                                                                                                             |
| ----- | ------------------------------------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------- | --------: | :----: | :--: | ---------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| QA-01 | Add byte-level determinism test for `report.json` (normalized fields)                                   | Current determinism test compares plugin sections, not full report bytes.                                 | 0/0/3/2=5 |    S   |  Low | EXEC-01          | Improved: P3,P4; Risked: none; Enforce: tests; Regress: any drift fails CI ⇒ DO_NOT_SHIP; Acceptance: two runs with fixed seed produce identical normalized report output.                        |
| QA-02 | Add “malicious plugin” fixtures to validate sandbox (network/files/pickle/eval/shell)                   | Sandbox guards exist in `sandbox.py`.  Plan expects such tests.                                           | 0/3/1/1=5 |    M   |  Med | SEC-01           | Improved: P2,P3; Risked: none; Enforce: new tests; Regress: any bypass is a release blocker ⇒ DO_NOT_SHIP; Acceptance: fixtures attempt violations and must fail with recorded violation entries. |
| QA-03 | Migration tests: create DB at older versions and upgrade; verify data preserved                         | Migrations are versioned; apply migrations updates `user_version`.                                        | 0/0/2/2=4 |    M   |  Med | none             | Improved: P3,P4; Risked: none; Enforce: tests; Regress: any migration failure blocks release ⇒ DO_NOT_SHIP; Acceptance: fixture DB migrates to head and key tables contain expected rows.         |
| QA-04 | Contract tests for manifest/schema validation across all plugins                                        | Repo already has plugin discovery tests.  Expand to enforce dialect rules and new manifest fields         | 0/0/2/2=4 |    S   |  Low | PLUG-02, PLUG-06 | Improved: P3,P4; Risked: none; Enforce: tests; Regress: none; Acceptance: CI fails if any plugin manifest/schema violates updated rules.                                                          |
| QA-05 | UI smoke tests (FastAPI TestClient) for core flows: upload, run, progress, artifacts                    | UI has core endpoints (upload/run/progress/artifacts).                                                    | 0/0/1/1=2 |    M   |  Low | none             | Improved: P3,P4; Risked: none; Enforce: tests; Regress: none; Acceptance: smoke suite runs headlessly and validates status codes and key JSON shapes.                                             |
| QA-06 | Add perf regression tests based on `plugin_executions.duration_ms` thresholds                           | Timings exist ; use fixtures to gate                                                                      | 1/0/1/2=4 |    M   |  Med | OBS-08           | Improved: P1,P3,P4; Risked: none; Enforce: CI; Regress: any threshold breach blocks merge ⇒ DO_NOT_SHIP; Acceptance: CI prints deltas and fails on regressions.                                   |
| QA-07 | Property-based tests for path safety (`safe_join`) and artifact routes                                  | `safe_join` tests exist for traversal.  Expand to fuzz Windows separators and encoded paths               | 0/2/0/1=3 |    M   |  Med | FND-08           | Improved: P2,P4; Risked: none; Enforce: tests; Regress: none; Acceptance: fuzzed inputs never escape base and always raise controlled errors.                                                     |
| QA-08 | Schema drift tests: validate every `report.json` produced by fixtures against `docs/report.schema.json` | Report writer validates schema during write.  Ensure fixtures cover all plugin types and schema evolution | 0/0/2/3=5 |    M   |  Low | META-01          | Improved: P3,P4; Risked: none; Enforce: tests; Regress: any schema mismatch blocks release ⇒ DO_NOT_SHIP; Acceptance: fixture pipeline run asserts schema-valid report and stable ordering.       |

---

## X. Roadmap: Phased plan (Phase 0–3)

| ID    | Recommendation                                                                                                  | Rationale                                                                     |     Scores | Effort | Risk | Dependencies | Acceptance test (incl. enforcement + regression gate)                                                                                                                                                                                            |
| ----- | --------------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------- | ---------: | :----: | :--: | ------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| RD-00 | **Phase 0 (0–2 weeks): Stabilize core** — FND-01/02/05/06 + SEC-01 + OBS-02                                     | Highest leverage: determinism + integrity + provability + sandbox correctness | 2/3/3/4=12 |    M   |  Med | none         | Improved: all pillars; Risked: none; Enforce: CI gates + schema; Regress: any determinism or sandbox regression ⇒ DO_NOT_SHIP; Acceptance: baseline fixture: stable fingerprint, schema-valid report, no sandbox bypass, TTFR metrics collected. |
| RD-01 | **Phase 1 (2–6 weeks): Provenance + replay** — META-01/03/05 + EXEC-07 + diagnostics bundle                     | Make “what ran” and “replay it” trivially provable                            | 2/2/3/4=11 |    L   |  Med | RD-00        | Improved: P3,P4; Risked: P2 (export); Enforce: manifest + export; Regress: replay must reproduce fingerprint; mismatch ⇒ DO_NOT_SHIP; Acceptance: export/import replay produces identical normalized report on fixture.                          |
| RD-02 | **Phase 2 (6–12 weeks): Plugin lifecycle + operator-grade manager** — PLUG-01/03/04/05 + UX-structured settings | Reduce plugin drift and admin pain; enforce compat and sandbox                |  1/3/2/3=9 |    L   | High | RD-01        | Improved: P2,P4; Risked: P3; Enforce: plugin registry + doctor; Regress: rollback must work; if not ⇒ DO_NOT_SHIP; Acceptance: install/update/rollback with health checks and explicit permissions works end-to-end.                             |
| RD-03 | **Phase 3 (12+ weeks): Scale performance + optional GPU/vector enhancements** — PERF suite + regression gates   | Make large datasets practical on Win11/WSL2 while keeping determinism         |  3/1/1/2=7 |    L   |  Med | RD-02        | Improved: P1; Risked: none; Enforce: perf tests; Regress: perf improvements must not alter outputs; if they do ⇒ DO_NOT_SHIP; Acceptance: large fixture runtime reduced with unchanged report/fingerprint.                                       |

---

# C) Top-20 quick wins (highest total, Effort = S or M)

| Rank | ID      | Effort | Score (P1/P2/P3/P4=Total) |
| ---: | ------- | :----: | ------------------------: |
|    1 | RD-00   |    M   |                2/3/3/4=12 |
|    2 | FND-02  |    M   |                 2/1/2/4=9 |
|    3 | FND-05  |    M   |                 2/2/2/3=9 |
|    4 | FND-06  |    M   |                 1/1/3/4=9 |
|    5 | META-03 |    M   |                 1/1/3/4=9 |
|    6 | EXEC-07 |    M   |                 2/0/2/4=8 |
|    7 | FND-03  |    M   |                 1/1/3/3=8 |
|    8 | META-01 |    M   |                 1/1/2/4=8 |
|    9 | META-02 |    S   |                 1/1/2/4=8 |
|   10 | META-05 |    M   |                 1/1/2/4=8 |
|   11 | EXEC-05 |    M   |                 2/1/2/2=7 |
|   12 | EXEC-06 |    M   |                 1/2/2/2=7 |
|   13 | FND-01  |    M   |                 1/1/2/3=7 |
|   14 | META-04 |    M   |                 0/0/3/4=7 |
|   15 | PERF-03 |    M   |                 2/0/2/3=7 |
|   16 | PLUG-05 |    M   |                 0/4/1/2=7 |
|   17 | SEC-01  |    M   |                 0/4/1/2=7 |
|   18 | EXEC-02 |    M   |                 1/0/2/3=6 |
|   19 | EXEC-03 |    M   |                 3/0/1/2=6 |
|   20 | FND-07  |    M   |                 1/1/2/2=6 |

---

# D) Top-20 big bets (highest total regardless of effort)

| Rank | ID      | Effort | Score (P1/P2/P3/P4=Total) |
| ---: | ------- | :----: | ------------------------: |
|    1 | RD-00   |    M   |                2/3/3/4=12 |
|    2 | RD-01   |    L   |                2/2/3/4=11 |
|    3 | FND-02  |    M   |                 2/1/2/4=9 |
|    4 | FND-05  |    M   |                 2/2/2/3=9 |
|    5 | FND-06  |    M   |                 1/1/3/4=9 |
|    6 | META-03 |    M   |                 1/1/3/4=9 |
|    7 | RD-02   |    L   |                 1/3/2/3=9 |
|    8 | PLUG-01 |    L   |                 1/2/2/3=8 |
|    9 | EXEC-07 |    M   |                 2/0/2/4=8 |
|   10 | FND-03  |    M   |                 1/1/3/3=8 |
|   11 | META-01 |    M   |                 1/1/2/4=8 |
|   12 | META-02 |    S   |                 1/1/2/4=8 |
|   13 | META-05 |    M   |                 1/1/2/4=8 |
|   14 | EXEC-04 |    L   |                 3/1/1/2=7 |
|   15 | EXEC-05 |    M   |                 2/1/2/2=7 |
|   16 | EXEC-06 |    M   |                 1/2/2/2=7 |
|   17 | FND-01  |    M   |                 1/1/2/3=7 |
|   18 | META-04 |    M   |                 0/0/3/4=7 |
|   19 | PERF-03 |    M   |                 2/0/2/3=7 |
|   20 | PLUG-05 |    M   |                 0/4/1/2=7 |

---

# E) Minimal canonical metadata schema proposal (fields + types + examples)

This is a **minimal** additive schema that aligns to what the repo already persists (`runs`, `plugin_results_v2`, `plugin_executions`, `dataset_versions`, `uploads`) and the report-writing path.   

### `run_manifest.json` (new, schema-validated)

```json
{
  "schema_version": "statistic_harness.run_manifest.v1",
  "run_id": "3f1c... (uuid hex)",
  "run_fingerprint": "sha256:ab12... (deterministic)",
  "created_at": "2026-02-06T12:34:56Z",
  "tenant_id": 1,
  "project_id": "proj_123",
  "upload": {
    "upload_id": "upl_abc",
    "filename": "quorum_close_cycle.csv",
    "size_bytes": 123456,
    "sha256": "f00d..."
  },
  "dataset": {
    "dataset_id": "ds_001",
    "dataset_version_id": "dsv_001",
    "raw_format_id": 1,
    "data_hash": "sha256:dead...",
    "row_count": 999,
    "column_count": 42,
    "column_map_hash": "sha256:beef..."
  },
  "determinism": {
    "run_seed": 12345,
    "json_float_precision": 10,
    "py_env": {
      "PYTHONHASHSEED": "12345",
      "TZ": "UTC",
      "LC_ALL": "C",
      "LANG": "C"
    }
  },
  "selection": {
    "plugins_requested": ["all"],
    "plugins_expected": ["ingest_tabular", "profile_basic", "..."],
    "planner": { "enabled": true, "explanation_path": "artifacts/plan.json" }
  },
  "settings": {
    "settings_hash": "sha256:cafe...",
    "settings_snapshot_path": "settings/settings.normalized.json"
  },
  "artifacts_index": {
    "report_json": "report.json",
    "report_md": "report.md",
    "evaluation_json": "evaluation.json",
    "requests_dir": "requests/",
    "responses_dir": "responses/",
    "logs_dir": "logs/"
  }
}
```

### Per-plugin execution record (augment existing `plugin_executions`)

Existing fields already capture `duration_ms`, cpu, rss, stdout/stderr, etc. 
Add:

* `settings_snapshot_json` (string, normalized)
* `settings_schema_hash` (string)
* `sandbox_effective` (object: no_network, fs_allowlist resolved)
* `violations_json` (array of strings/objects; pipeline already tracks violations) 

### Proof fields embedded into `report.json` (additive)

Report already supports evaluation/known issues sections. 
Add:

* `provenance.run_manifest_path`
* `provenance.dataset_identity` (the tuple above)
* `provenance.plugin_identities[]` (id/version/code_hash/manifest_hash)
* `provenance.replay_package_path` (optional)

---

# F) Minimal processing lineage model (input → canonical → transforms → analyses → reports → prompt → vector)

Use the existing `lineage_edges(from_id, to_id, edge_type, metadata_json)` table as the canonical graph. 

### Entity IDs (suggested)

| Entity type       | ID format                                        | Source in repo                               |
| ----------------- | ------------------------------------------------ | -------------------------------------------- |
| Upload            | `upload:<upload_id>`                             | `uploads` table, `fetch_upload*`.            |
| Dataset version   | `dataset_version:<dataset_version_id>`           | `dataset_versions` table.                    |
| Run               | `run:<run_id>`                                   | `runs` table.                                |
| Plugin result     | `plugin_result:<run_id>:<plugin_id>:<result_id>` | `plugin_results_v2`.                         |
| Artifact          | `artifact:<run_id>:<rel_path>`                   | `run_dir` artifacts served via `safe_join`.  |
| Prompt artifact   | `prompt:<run_id>`                                | `llm_prompt_builder` artifacts.              |
| Vector collection | `vector:<collection>`                            | `/vectors` route exists.                     |

### Edge types (minimal)

| Edge type       | Meaning                  | Created at        |
| --------------- | ------------------------ | ----------------- |
| `uploaded_as`   | upload → dataset_version | ingest completion |
| `analyzed_in`   | dataset_version → run    | run start         |
| `produced`      | run → plugin_result      | plugin completion |
| `materialized`  | plugin_result → artifact | artifact write    |
| `summarized_as` | run → report artifacts   | report bundle     |
| `prompted_as`   | run → prompt artifact    | prompt plugin     |
| `indexed_as`    | report/prompt → vector   | vector indexing   |

---

# Plugin manager redesign (minimal viable spec + stretch)

## Information architecture (MVP)

| Area        | Purpose                            | Key UI elements                                                          |
| ----------- | ---------------------------------- | ------------------------------------------------------------------------ |
| Inventory   | list installed & available plugins | type filters; search; status badges                                      |
| Details     | inspect a plugin’s contract        | manifest view; config/output schema view; capabilities; dependency DAG   |
| Permissions | explicit sandbox permissions       | effective allowlist; “needs DB”/“needs run_dir” toggles; deny-by-default |
| Lifecycle   | install/update/rollback            | “Install from file”; “Update”; “Rollback”; change log                    |
| Health      | self-test & validation             | “Doctor” results; schema validation; import test; fixture run            |

## Core flows (MVP)

1. **Install from file** (zip/dir) → hash bundle → store under `appdata/plugins/` → validate manifest/schema → mark disabled until approved permissions.
2. **Enable plugin** → enforce compatibility checks → require explicit permission review (sandbox capabilities).
3. **Update** → install new version in parallel → run health check → canary run (optional) → switch active.
4. **Rollback** → set active pointer back to prior version → record lineage/audit event.

## Stretch goals

* Signed plugin bundles (local trust model) with an allowlist of publisher keys.
* Per-project plugin policies (allowed/blocked, resource class overrides).
* “Compatibility simulator”: show which existing runs would change under an update (based on code_hash/settings_hash).

---

# UI/UX sketches (ASCII / wireframe)

## Home / Runs Dashboard

```text
+--------------------------------------------------------------+
| Statistic Harness  [Projects] [Runs] [Plugins] [Trace] [Ops]  |
+--------------------------------------------------------------+
| Recent Runs (filters: project, status, fingerprint, date)     |
|  Run Label     Status      Dataset (sha.. / rows)   TTFR      |
|  r-123         ok          deadbeef.. / 1.2M        00:12     |
|  r-124         errors      deadbeef.. / 1.2M        00:15     |
|  r-125         crashed     cafe...    / 900k        --        |
+--------------------------------------------------------------+
| Quick action:  [Upload → Run (guided)]  [Replay package]      |
+--------------------------------------------------------------+
```

## Dataset upload + ingest status panel

```text
Upload Dataset
[ Choose file ]  (accept: csv/tsv/txt/xlsx/json)  [Upload]

Identity
- sha256: f00d... (copy)
- size: 123,456 bytes
- detected format: csv (delimiter ,)
- ingest: running | ok | failed
- canonical: data_hash dead... | rows 999 | cols 42

[View inferred roles]  [Proceed to Plan]
```

## Plugin manager main screen

```text
Plugins  (search: ________)  [Install plugin…]  [Doctor all]
Filters: [ingest] [profile] [analysis] [report] [llm]  [enabled only]

ID                              Type     Ver   Sandbox   Health   Actions
analysis_concurrency_recon       analysis  0.1  no_net    ok       [Details] [Disable]
llm_prompt_builder               llm       0.1  no_net    warn     [Details] [Permissions]
...
```

## Run detail (metadata + provenance + execution + artifacts)

```text
Run r-123   Status: completed_with_errors   Fingerprint: sha256:ab12...
Dataset: data_hash dead... | upload sha f00d... | rows 999 | cols 42 | seed 12345
Proof: [run_manifest.json] [settings.normalized.json] [replay.zip]

Execution timeline (by plugin)
plugin_id                     status   dur   sandbox     warnings  violations
ingest_tabular                 ok      3.2s  no_net      0         0
profile_basic                  ok      1.1s  no_net      2         0
analysis_x                     err     5.0s  no_net      0         1 (timeout)

Artifacts
- report.json  report.md  evaluation.json
- artifacts/<plugin>/...
- requests/<plugin>.json  responses/<plugin>.json  logs/<plugin>.log
```

---

# Special focus: “frictionless ingest + run” metrics (definition + instrumentation)

| Metric              | Definition                                                                                      | Instrumentation source                     |
| ------------------- | ----------------------------------------------------------------------------------------------- | ------------------------------------------ |
| TTFR                | time from upload accepted → first plugin completion (`plugin_executions.completed_at` earliest) | `plugin_executions` + upload timestamp     |
| TTFReport           | time from run queued → `report.json` exists                                                     | run creation + report write step           |
| Failure rate        | fraction of runs with any plugin status `error`                                                 | progress endpoint already collects errors  |
| Misconfig loop rate | count of runs where user changes settings and reruns within N minutes                           | add `ui_events` table (new)                |
| Retry rate          | number of plugins re-executed per run                                                           | add retry taxonomy to `plugin_executions`  |

---

# Open questions (non-blocking; max 12)

|  # | Question                                                                                                                                                              |
| -: | --------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
|  1 | Should `run_id` remain random-only, or should “idempotent run” be a first-class mode keyed by `run_fingerprint`?                  yes idempotent                                    |
|  2 | Is `dataset_versions.data_hash` currently populated for all ingest paths (CSV/XLSX/JSON)? Evidence suggests the field exists, but population is not shown.  no, update it.          |
|  3 | Which artifacts are considered “required” for marking a run completed (report.json/report.md/evaluation)?         all 3                                                    |
|  4 | Are any plugins expected to read directly from SQLite beyond dataset tables (i.e., access to `state.sqlite`) or should DB access be forbidden in sandbox by default? yes plugins can read from sqlite whatever is needed |
|  5 | What is the intended boundary between “project settings overrides” and “template runs” settings (two different UIs exist)?              they are the same thing                              |
|  6 | Should evaluation/known issues be mandatory for certain ERP types or always optional?                                            mandatory by erp                                     |
|  7 | What is the acceptable max size for diagnostics bundles and should they be PII-redacted by default?                              no redaction, no max size                                     |
|  8 | Do you want vector indexing enabled by default, or always opt-in behind a project flag?                                           yes, always enabled by default, as well as ideaspace or state or whatever else, everything active and running against an erp dataset.                                    |
|  9 | Should prompt artifacts be generated automatically, or only via explicit user action with consent?                               whatever is most optimal for the 4 pillars                                     |
| 10 | Are there enterprise constraints on writing to Windows paths vs WSL2 paths that should guide `appdata` placement?                whatever is most optimal for the 4 pilalrs                                     |
| 11 | Should the plugin manager support “per-project allowlists” (different enabled plugins per project)?                              no, we are running every plugin against every project. if a plugin returns no results that is important data as well, we will determine if it is a bug or valid                                     |
| 12 | What level of backward compatibility is required for existing `report.json` consumers if schema changes?                           none. we are not in production yet so everything can be considered temporary during testing.                                   |

---

## DETERMINISM

VERIFIED (rankings and totals computed deterministically from the explicit score table in this response)

## FOOTER_REPEAT(THREAD, CHAT_ID, TS)

THREAD=unknown | CHAT_ID=unknown | TS=2026-02-06
